StringId,X,Y,Z,Rolling Resistance,Ground Structure,Maximum Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Speed Full (Rev),Maximum Speed Empty (Rev)
1,112542.324,100951.652,6700,2,0,100,100,100,100
1,112952.727,101020.854,6740,2,0,100,100,100,100
1,113619.209,101230.113,6810,2,0,100,100,100,100
1,113805.875,101333.877,6830,2,0,100,100,100,100
1,113984.135,101541.083,6832.624,2,0,100,100,100,100
1,114177.861,101836.771,6836.017,2,0,100,100,100,100
1,114325.756,102233.405,6840.081,2,0,100,100,100,100
1,114388.516,102479.674,6846.381,2,0,100,100,100,100
1,114389.967,102626.775,6850.028,2,0,100,100,100,100
1,114374.699,102731.376,6860,2,0,100,100,100,100
1,114359.383,102825.275,6870,2,0,100,100,100,100
1,114346.963,102994.197,6890,2,0,100,100,100,100
1,114350.057,103194.157,6910,2,0,100,100,100,100
1,114360.945,103330.337,6920,2,0,100,100,100,100
1,114348.129,103414.409,6930,2,0,100,100,100,100
1,114325.998,103521.284,6940,2,0,100,100,100,100
1,114301.061,103621.613,6950,2,0,100,100,100,100
1,114240.197,103690.536,6960,2,0,100,100,100,100
1,114154.703,103739.059,6970,2,0,100,100,100,100
1,114083.879,103799.683,6980,2,0,100,100,100,100
1,113997.26,103856.318,6990,2,0,100,100,100,100
1,113768.66,104001.373,7010,2,0,100,100,100,100
1,113681.012,104069.008,7020,2,0,100,100,100,100
1,113586.746,104126.518,7030,2,0,100,100,100,100
1,113498.941,104179.235,7040,2,0,100,100,100,100
1,113413.777,104251.006,7050,2,0,100,100,100,100
1,113355.305,104302.788,7060,2,0,100,100,100,100
1,113252.943,104346.634,7070,2,0,100,100,100,100
1,113168.469,104403.133,7080,2,0,100,100,100,100
1,113066.352,104455.65,7090,2,0,100,100,100,100
1,112956,104557.896,7100,2,0,100,100,100,100
2,112542.324,100951.652,6700,2,0,100,100,100,100
2,112244.123,100940.428,6670,2,0,100,100,100,100
2,111953.18,101003.38,6640,2,0,100,100,100,100
2,111676.076,101134.315,6610,2,0,100,100,100,100
3,112542.324,100951.652,6700,2,0,100,100,100,100
3,112647.844,101320.615,6700,2,0,100,100,100,100
4,112542.324,100951.652,6700,2,0,100,100,100,100
4,112647.844,101320.448,6740,2,0,100,100,100,100
5,113075.537,104673.162,7100,2,0,100,100,100,100
5,112956,104557.896,7100,2,0,100,100,100,100
5,113066.352,104455.65,7090,2,0,100,100,100,100
5,113168.469,104403.133,7080,2,0,100,100,100,100
5,113252.943,104346.634,7070,2,0,100,100,100,100
5,113355.305,104302.788,7060,2,0,100,100,100,100
