StringId,X,Y,Z
1,9601.28711678914,9691.65034460141,1094.53428690562
1,9600.37413720604,9664.68803291345,1094.24744482827
1,9561.23367107911,9643.32392866914,1092.21756142186
1,9515.742,9624.118,1090.409
1,9371.913,9617.692,1090.397
1,9317.126,9583.811,1096.112
1,9208.593,9547.037,1107.266
1,9121.431,9511.878,1116.229
1,9006.84,9469.959,1127.902
1,8911.111,9423.428,1137.724
1,8813.517,9355.637,1148.645
1,8773.172,9281.805,1155.738
1,8786.824,9192.343,1159.526
1,8795.572,9089.533,1164.6
1,8811.03,9020.493,1167.992
1,8819.38,8923.746,1172.593
1,8832.768,8820.389,1177.393
1,8851.289,8710.321,1182.5
1,8869.07800047772,8559.31181833801,1189.65872155143
1,8900.354,8468.602,1190.0
1,8928.024,8571.165,1192.256
1,8946.983,8651.231,1200.322
1,8985.823,8774.524,1212.73
1,9031.492,8887.397,1223.755
1,9053.557,8983.78,1233.336
1,9098.689,9012.175,1237.76
1,9184.413,9003.638,1245.414
1,9277.412,8970.369,1253.392
1,9358.398,8952.15,1260.0
2,9601.28711678914,9691.65034460141,1094.53428690562
2,9638.21682259226,9692.33170495694,1096.1176523076
2,9713.27,9701.158,1099.48
2,9838.314,9719.994,1105.124
2,9933.551,9735.552,1109.779
2,10027.146,9754.301,1112.446
3,9601.28711678914,9691.65034460141,1094.53428690562
3,9571.948,9687.98,1092.167
3,9508.769,9681.835,1089.562
3,9385.332,9681.087,1087.221
3,9319.11976230443,9685.7343133029,1087.2114934995
3,9232.8630556926,9694.02625618314,1087.16567739542
4,9601.28711678914,9691.65034460141,1094.53428690562
4,9597.57114981933,9725.36806853792,1093.2433901201
4,9595.45856345069,9753.75905957348,1092.10787176362
4,9593.015,9797.533,1089.677
5,9961.444,10920.049,1086.115
5,9969.289,10882.618,1085.748
6,9961.444,10920.049,1086.115
6,9946.826,10989.8,1086.798
6,9883.461,11038.218,1087.268
6,9799.066,11044.381,1087.808
7,9961.444,10920.049,1086.115
7,9984.056,10936.811,1086.156
7,9990.55,10963.521,1086.336
7,9991.666,11006.46,1087.537
7,9963.931,11064.73,1087.95
7,9947.31535577915,11093.6576327444,1088.18943692793
8,9901.432,11163.119,1087.878
8,9923.897,11130.898,1087.87
9,9901.432,11163.119,1087.878
9,9850.24595310483,11183.9735769401,1087.81427330758
10,9901.432,11163.119,1087.878
10,9888.101,11153.88,1087.509
10,9863.953,11144.812,1087.537
10,9830.45,11123.551,1087.661
10,9801.981,11101.362,1087.731
10,9774.83,11084.105,1087.789
11,9901.432,11163.119,1087.878
11,9906.944,11171.613,1088.18
11,9915.622,11182.384,1088.368
11,9919.378,11201.928,1088.109
11,9921.77,11232.751,1087.622
11,9918.768,11290.237,1088.917
11,9909.137,11320.774,1088.742
11,9893.984,11342.676,1087.393
11,9865.015,11340.349,1086.733
12,9255.378,11083.604,1063.922
12,9251.174,10971.263,1065.657
12,9241.466,10888.447,1066.755
12,9214.611,10822.431,1068.057
12,9167.067,10706.405,1069.814
12,9139.004,10641.71,1070.347
12,9125.41159809246,10560.4683921985,1072.90345128311
12,9117.659,10479.017,1072.807
12,9107.814,10407.038,1074.67
12,9103.979,10327.888,1076.098
12,9118.469,10243.595,1077.49
12,9159.756,10165.103,1078.411
12,9202.886,10111.548,1079.439
12,9232.947,10050.874,1080.406
12,9230.773,10007.889,1081.426
12,9226.016,9955.897,1082.95
12,9221.549,9915.582,1083.196
12,9219.757,9899.41,1083.294
13,9255.378,11083.604,1063.922
13,9311.181,11091.689,1065.492
13,9332.187,11094.733,1066.083
13,9426.888,11092.618,1074.871
13,9491.258,11082.413,1081.427
13,9555.52,11075.61,1087.686
13,9621.981,11072.157,1089.224
14,9255.378,11083.604,1063.922
14,9153.105,11107.122,1064.497
14,9083.866,11108.456,1064.548
14,8987.708,11120.737,1064.74
15,9311.181,11091.689,1065.492
15,9313.492,11044.897,1065.508
15,9374.999,11024.684,1067.474
15,9498.324,11014.201,1069.623
15,9600.168,11006.9,1072.408
