StringId,X,Y,Z,Description,Width,Height,Rolling Resistance,Traction Coefficient,Ground Structure,Locked,Enabled (Fwd),Empty Only (Fwd),Full Only (Fwd),Maximum Speed Full (Fwd),Maximum Final Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Final Speed Empty (Fwd),Enabled (Rev),Empty Only (Rev),Full Only (Rev),Maximum Speed Full (Rev),Maximum Final Speed Full (Rev),Maximum Speed Empty (Rev),Maximum Final Speed Empty (Rev)
1,9601.28711678914,9691.65034460141,1094.53428690562,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9600.37413720604,9664.68803291345,1094.24744482827,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9561.23367107911,9643.32392866914,1092.21756142186,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9515.742,9624.118,1090.409,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9371.913,9617.692,1090.397,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9317.126,9583.811,1096.112,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9208.593,9547.037,1107.266,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9121.431,9511.878,1116.229,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9006.84,9469.959,1127.902,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8911.111,9423.428,1137.724,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8813.517,9355.637,1148.645,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8773.172,9281.805,1155.738,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8786.824,9192.343,1159.526,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8795.572,9089.533,1164.6,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8811.03,9020.493,1167.992,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8819.38,8923.746,1172.593,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8832.768,8820.389,1177.393,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8851.289,8710.321,1182.5,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8869.07800047772,8559.31181833801,1189.65872155143,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8900.354,8468.602,1190,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8928.024,8571.165,1192.256,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8946.983,8651.231,1200.322,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8985.823,8774.524,1212.73,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9031.492,8887.397,1223.755,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9053.557,8983.78,1233.336,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9098.689,9012.175,1237.76,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9184.413,9003.638,1245.414,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9277.412,8970.369,1253.392,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,9358.398,8952.15,1260,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,9601.28711678914,9691.65034460141,1094.53428690562,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,9638.21682259226,9692.33170495694,1096.1176523076,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,9713.27,9701.158,1099.48,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,9838.314,9719.994,1105.124,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,9933.551,9735.552,1109.779,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,10027.146,9754.301,1112.446,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
3,9601.28711678914,9691.65034460141,1094.53428690562,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
3,9571.948,9687.98,1092.167,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
3,9508.769,9681.835,1089.562,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
3,9385.332,9681.087,1087.221,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
3,9319.11976230443,9685.7343133029,1087.2114934995,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
3,9232.8630556926,9694.02625618314,1087.16567739542,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
4,9601.28711678914,9691.65034460141,1094.53428690562,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
4,9597.57114981933,9725.36806853792,1093.2433901201,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
4,9595.45856345069,9753.75905957348,1092.10787176362,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
4,9593.015,9797.533,1089.677,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
5,9961.444,10920.049,1086.115,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
5,9969.289,10882.618,1085.748,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
6,9961.444,10920.049,1086.115,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
6,9946.826,10989.8,1086.798,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
6,9883.461,11038.218,1087.268,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
6,9799.066,11044.381,1087.808,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
7,9961.444,10920.049,1086.115,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
7,9984.056,10936.811,1086.156,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
7,9990.55,10963.521,1086.336,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
7,9991.666,11006.46,1087.537,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
7,9963.931,11064.73,1087.95,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
7,9947.31535577915,11093.6576327444,1088.18943692793,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
8,9901.432,11163.119,1087.878,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
8,9923.897,11130.898,1087.87,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
9,9901.432,11163.119,1087.878,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
9,9850.24595310483,11183.9735769401,1087.81427330758,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
10,9901.432,11163.119,1087.878,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
10,9888.101,11153.88,1087.509,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
10,9863.953,11144.812,1087.537,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
10,9830.45,11123.551,1087.661,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
10,9801.981,11101.362,1087.731,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
10,9774.83,11084.105,1087.789,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9901.432,11163.119,1087.878,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9906.944,11171.613,1088.18,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9915.622,11182.384,1088.368,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9919.378,11201.928,1088.109,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9921.77,11232.751,1087.622,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9918.768,11290.237,1088.917,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9909.137,11320.774,1088.742,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9893.984,11342.676,1087.393,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
11,9865.015,11340.349,1086.733,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9255.378,11083.604,1063.922,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9251.174,10971.263,1065.657,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9241.466,10888.447,1066.755,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9214.611,10822.431,1068.057,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9167.067,10706.405,1069.814,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9139.004,10641.71,1070.347,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9125.41159809246,10560.4683921985,1072.90345128311,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
12,9117.659,10479.017,1072.807,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
